creature_id,common_name,scientific_name,category,subcategory,metal_content_pct,danger_rating,avg_weight_kg,yeller_compatible,typical_depth_m,primary_habitat,conservation_status,capital_demand,notes
CR001,Leatherback Burrower,Avem subterrus,bird,burrowing,12.3,3,0.45,True,15,cave_system,common,medium,"Flies in caves; prized for wing-leather"
CR002,Stone Spine Lizard,Lacerta petrus,reptile,amalgam,67.8,5,2.1,False,8,quarry_wall,uncommon,high,"Spines detach and regrow; highly dangerous"
CR003,Granite Wren,Passer basaltus,bird,mineral,34.2,1,0.08,True,0,surface_marsh,common,low,"Wings barely flap; breathes tunneled air"
CR004,Swamp Hornet,Vespa palustris,insect,venomous,0.0,4,0.002,False,0,marsh_surface,abundant,none,"Nests in cave mouths; killed expedition dog"
CR005,Maw Beast,Bestia vorax,mammal,predator,23.4,8,180.0,False,45,deep_cave,rare,extreme,"Can digest anything; responsible for Truck's death"
CR006,Yeller Frog,Rana yelleri,amphibian,yeller,5.6,2,0.12,True,3,shallow_pool,uncommon,high,"Stone-lidded eyes; grainy accumulants; senator's banquet display"
CR007,Metal-Beaked Finch,Fringilla ferrum,bird,amalgam,78.9,2,0.15,True,5,quarry_rim,common,medium,"Beaks traded for archivist tools"
CR008,Coil Tube Serpent,Serpens tubulus,reptile,amalgam,45.3,6,8.4,False,20,tunnel_system,uncommon,high,"Viscera mixed with rusted tubes"
CR009,Wharver,Lacerta globus,reptile,aquatic,82.1,7,35.0,False,0,grimslew_shore,rare,extreme,"Globed lizard with fins; hot belly; steam from gills"
CR010,Gritsmuck Crawler,Crustum densii,crustacean,scavenger,15.7,1,0.03,False,0,dens_margin,abundant,low,"Scattered scurry that tugs boats"
CR011,Cave Bat,Vespertilio cavus,mammal,flying,8.2,1,0.04,True,25,cave_system,abundant,low,"Common; becomes yeller-grouped in quarry"
CR012,Rock-Finned Eel,Anguilla petrus,fish,aquatic,41.0,4,3.2,False,10,underground_pool,uncommon,medium,"Fights with dagger-like fins; archival etchings"
CR013,Toadpipe,Bufo fistula,amphibian,livestock,2.1,1,0.8,False,0,pasture_bed,domesticated,none,"Kept in Dens villages; musical croaking"
CR014,Hogfoot,Sus densii,mammal,livestock,0.0,1,45.0,False,0,pasture_bed,domesticated,none,"Primary meat source near Dens"
CR015,Greybeakeel,Anguilla griseum,fish,aquatic,18.4,2,1.1,False,2,village_pool,domesticated,low,"Kept in pools; mild temperament"
CR016,Tunnel Cat,Felis subterrus,mammal,predator,5.4,3,4.5,True,15,tunnel_system,common,medium,"Becomes yeller-grouped; eeriest thing according to archivists"
CR017,Grimslew Fish,Pisces grimslevus,fish,anomalous,0.0,9,unknown,False,unknown,grimslew_deep,mythical,none,"Stuck in pitch-black sea; possibly origin of Dens"
CR018,Dunebug,Insecta arenarum,insect,desert,3.2,1,0.01,False,0,mirado_desert,common,low,"Glass replicas fashionable in Capital"
CR019,Nothing Bird,Avem nullus,bird,yeller,28.4,2,0.11,True,0,dens_margin,rare,extreme,"Part of yeller bird flock; starts pocket sequences"
CR020,Pocket Bird,Avem sacculus,bird,yeller,28.4,2,0.11,True,0,dens_margin,rare,extreme,"Yeller bird variant; hides in stone vases"
CR021,Whistle Bird,Avem sibilans,bird,yeller,28.4,2,0.11,True,0,dens_margin,rare,extreme,"Yeller bird variant; creates bend in whistle"
CR022,Witch Creature,Bestia maga,unknown,anomalous,unknown,10,unknown,False,50,deep_cave,mythical,none,"What attacked expedition; disputed existence"
CR023,Marsh Tree Crawler,Vermis paluster,worm,scavenger,0.0,1,0.5,False,0,marsh_surface,abundant,none,"Lives on marsh trees; food for larger creatures"
CR024,Quarry Moth,Lepidoptera saxum,insect,flying,22.1,1,0.005,False,10,quarry_wall,common,low,"Wings have mineral dust; used in Capital cosmetics"
CR025,Deep Borer,Vermis profundus,worm,burrowing,38.9,2,2.0,False,60,deep_tunnel,uncommon,medium,"Creates tunnel systems; followed by trappers"
